și  s1 i
a  a
este  e s t e
se  s e
sunt  s u n t
două  d o u a1
s-a  s a
mii  m i i
ani  a n i
are  a r e
îi  a2 i
era  e r a
îmi  a2 m i
multe  m u l t e
asta  a s t a
toate  t o a t e
le  l e
cele  ts1 l e
această  a ts1 a s t a1
își  a2 s1 i
așa  a s1 a
s-au  s a u
șase  s1 a s e
există  e k s i s t a1
toți  t o ts i
vom  v o m
lei  l e i
cred  k r e d
bani  b a n i
ea  e a
sute  s u t e
avem  a v e m
bucurești  b u k u r e s1 t i
fe  f e
și-a  s1 i a
mulți  m u l ts i
aceste  a ts1 s t e
spun  s p u n
altă  a l t a1
persoane  p e r s o a n e
alte  a l t e
ale  a l e
erau  e r a u
fața  f a ts a
anul  a n u l
oamenii  o a m e n i i
românia  r o m a2 n i a
suntem  s u n t e m
știu  s1 t i u
ultima  u l t i m a
polițiștii  p o l i ts i s1 t i i
toată  t o a t a1
mi-a  m i a
zile  z i l e
me  m e
probleme  p r o b l e m e
viață  v i a ts a1
reușit  r e u s1 i t
câteva  k a2 t e v a
unei  u n e i
mașini  m a s1 i n i
îl  a2 l
timișoara  t i m i s1 o a r a
ora  o r a
primele  p r i m e l e
nicio  n i ts1 o
nu-mi  n u m i
lipsa  l i p s a
vreau  v r e a u
ne-a  n e a
mi-am  m i a m
șapte  s1 a p t e
timpul  t i m p u l
numărul  n u m a1 r u l
ve  v e
față  f a ts a1
galați  g a l a ts i
oameni  o a m e n i
copii  k o p i i
bărbatul  b a1 r b a t u l
multă  m u l t a1
văd  v a1 d
una  u n a
tânăra  t a2 n a1 r a
acestea  a ts1 s t e a
produse  p r o d u s e
tatăl  t a t a1 l
partea  p a r t e a
într-o  a2 n t r o
ușor  u s1 o r
fac  f a k
jucători  z1 u k a1 t o r i
minute  m i n u t e
i-a  i a
bergodi  b e r g o d i
jucătorii  z1 u k a1 t o r i i
acestui  a ts1 s t u i
amintește  a m i n t e s1 t e
orașului  o r a s1 u l u i
aș  a s1
unii  u n i i
puțin  p u ts i n
vorba  v o r b a
stilul  s t i l u l
șaizeci  s1 a i z e ts1
facă  f a k a1
dau  d a u
părinții  p a1 r i n ts i i
directorul  d i r e k t o r u l
județean  z1 u d e ts e a n
privește  p r i v e s1 t e
începând  a2 n ts1 p a2 n d
învățat  a2 n v a1 ts a t
lucruri  l u k r u r i
ne-au  n e a u
sfârșitul  s f a2 r s1 i t u l
deschisă  d e s k h i s a1
luna  l u n a
mașinii  m a s1 i n i i
studenți  s t u d e n ts i
noastre  n o a s t r e
mari  m a r i
milioane  m i l i o a n e
consiliul  k o n s i l i u l
aveam  a v e a m
consecință  k o n s e ts1 n ts a1
reprezentanții  r e p r e z e n t a n ts i i
m-am  m a m
aceasta  a ts1 a s t a
muzica  m u z i k a
maramureș  m a r a m u r e s1
constanța  k o n s t a n ts a
putem  p u t e m
m-a  m a
lor  l o r
școală  s1 k o a l a1
sa  s a
facem  f a ts1 m
europene  e u r o p e n e
celorlalți  ts1 l o r l a l ts i
lucrează  l u k r e a z a1
să-l  s a1 l
renunțat  r e n u n ts a t
autoritățile  a u t o r i t a1 ts i l e
reprezintă  r e p r e z i n t a1
niște  n i s1 t e
familia  f a m i l i a
situația  s i t u a ts i a
m-au  m a u
